time,match_id,start_time,did_rad_win?
4371,3277312254,1498566932,false
4370,5234938744,1581265057,false
4370,5071761075,1571225362,false
4369,3605993530,1512744731,true
4367,3175770526,1494680724,true
4366,3490212301,1507455178,true
4365,4697716690,1556440688,false
4365,3909868608,1527099951,false
4363,5268534528,1583033617,true
4360,4488002150,1551624715,false
4358,4653324217,1555293342,true
4356,4184256906,1540379115,false
4354,3396821386,1503482159,true
4354,3277744144,1498579717,true
4350,4449417115,1550847191,false
4348,3080872675,1490603483,false
4347,4173833062,1539820479,false
4346,5121055336,1574280057,false
4343,4278682948,1545220162,false
4342,3178589992,1494767562,true
4340,3404385900,1503759878,true
4339,3357776957,1501948824,false
4335,4176270473,1539961354,false
4333,5196911516,1579017602,true
4332,4321173045,1546938088,true
4332,5414918452,1589464777,true
4331,3349488765,1501584441,true
4330,5146353765,1575796965,true
4329,5113349087,1573799731,true
4329,3221355623,1496465832,false
4326,4999469638,1567308630,true
4323,3507043780,1508235474,false
4320,5218368498,1580394532,false
4316,5042781305,1569582801,true
4314,5385739837,1588151156,false
4312,2914549179,1484381939,false
4307,3280960198,1498728412,true
4305,3006862938,1487471041,false
4304,3298164327,1499421027,false
4304,4698643158,1556456889,true
4303,3237009552,1497061972,true
4300,4141707040,1538147332,true
4298,5112034511,1573703781,false
4297,3021672051,1488083685,true
4290,5444494373,1590855555,false
4288,3473545561,1506727966,true
4287,4926267657,1564126873,false
4286,4926521428,1564135952,false
4286,4806165985,1559485251,true
4286,3163263926,1494161770,false
4285,3038884377,1488811075,true
4285,4857454344,1561206426,false
4281,4144288518,1538273440,false
4278,3924725073,1527761048,true
4273,3077021855,1490447655,true
4269,5365845524,1587295399,false
4268,3455764776,1505934293,false
4268,5112591159,1573740207,false
4261,4198430300,1541099927,false
4259,3258445124,1497805168,true
4258,3125258899,1492498359,true
4255,3934970982,1528212033,true
4255,3239494473,1497122660,true
4253,3050198757,1489296547,true
4253,5128299567,1574730699,true
4250,3278894409,1498639769,false
4249,2860719881,1482258805,false
4248,2966253607,1486029720,false
4247,4168955570,1539532877,true
4246,5093811362,1572552355,false
4245,4190974051,1540710327,true
4243,3382900495,1502978383,false
4243,3113604473,1491995169,false
4238,5424106476,1589878719,false
4236,5479159792,1592653931,true
4233,3168081693,1494349272,false
4232,4492072597,1551711837,true
4231,3902193143,1526785932,true
4230,3485541074,1507269695,false
4230,4168423018,1539515090,false
4223,3054498770,1489484471,false
4222,4968439519,1565878406,true
4221,3304976347,1499687895,false
4218,3049515846,1489262158,true
4217,5067112725,1570946412,false
4216,3572628673,1511176555,false
4216,3605341105,1512720294,true
4216,5112206368,1573718419,true
4213,2995873548,1486994822,true
4213,2965243379,1486004907,false
4212,5380579085,1587913645,false
4210,4468916368,1551267597,false
4202,5420102792,1589699195,true
4197,3206822655,1495875971,false
4197,5107377839,1573385266,false
4195,3037206949,1488730850,true
4192,3757129038,1519826392,false
4191,5465598091,1591887277,true
4190,5312186322,1585087419,false
4189,5066670994,1570914592,false
4187,3109668328,1491811948,false
4187,2934921272,1485212262,false
4186,4855168593,1561120537,false
